epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
171,6489.76,0.4793,0.43981,0.95966,0.91262,0.90505,0.95451,0.8624,0.55885,0.52423,1.03812,0.008317,0.008317,0.008317
172,6528.06,0.48291,0.44287,0.96298,0.92155,0.89144,0.95412,0.86311,0.53915,0.51992,1.02005,0.0083071,0.0083071,0.0083071
173,6566.39,0.48123,0.43912,0.96455,0.92423,0.89496,0.95462,0.86617,0.55201,0.52151,1.0283,0.0082972,0.0082972,0.0082972
174,6604.79,0.47618,0.43806,0.95987,0.92695,0.89827,0.95498,0.86628,0.54079,0.51937,1.01859,0.0082873,0.0082873,0.0082873
175,6642.4,0.47588,0.43685,0.96324,0.92252,0.89388,0.95436,0.86599,0.54929,0.51269,1.02155,0.0082774,0.0082774,0.0082774
176,6680.36,0.47682,0.43591,0.96091,0.90659,0.9083,0.95479,0.86394,0.54013,0.51685,1.017,0.0082675,0.0082675,0.0082675
177,6718.18,0.4745,0.43316,0.95696,0.92498,0.89467,0.95348,0.86275,0.5334,0.52748,1.01603,0.0082576,0.0082576,0.0082576
178,6755.87,0.47171,0.43404,0.9587,0.91601,0.90029,0.95266,0.86306,0.52463,0.51463,1.00451,0.0082477,0.0082477,0.0082477
179,6793.43,0.47739,0.43609,0.96361,0.92158,0.89962,0.95342,0.86386,0.53097,0.53821,1.0117,0.0082378,0.0082378,0.0082378
180,6831.77,0.47522,0.43357,0.96108,0.9225,0.89967,0.95304,0.86441,0.53534,0.52183,1.01474,0.0082279,0.0082279,0.0082279
181,6869.1,0.47615,0.43504,0.9618,0.91871,0.90055,0.95224,0.86425,0.53652,0.512,1.01945,0.008218,0.008218,0.008218
